black,white,b_time,w_time,winner,rounds
Jane,George,24.50304279999998,83.31051159999998,George,39
George,Jane,55.41439269999992,21.965661500000067,George,42
Jane,George,30.708799599999764,83.38650109999992,George,51
George,Jane,13.46177949999992,18.843964600000163,Jane,31
Jane,George,12.75743900000009,13.368461800000148,Jane,24
George,Jane,35.803069199999925,12.59049479999993,George,30
Jane,George,6.113885400000129,21.51616239999987,George,19
George,Jane,15.237587099999871,10.81363390000007,George,22
Jane,George,7.858111500000007,18.256074200000057,George,17
George,Jane,63.80845149999982,18.57799810000023,George,44
Jane,George,5.328707999999892,12.866440800000078,George,15
George,Jane,41.148187799999846,16.27471730000002,George,36
Jane,George,9.58463909999989,23.64656479999985,George,25
George,Jane,24.641363000000183,6.24065569999982,George,24
Jane,George,9.262008199999968,93.69279230000018,George,39
George,Jane,73.88733180000008,47.13553089999971,draw,59
Jane,George,17.045673299999976,20.904101699999615,George,29
George,Jane,153.11574180000002,25.21964709999952,George,56
Jane,George,25.752450700000736,79.49977910000007,George,45
George,Jane,61.02890560000037,28.37003470000036,George,52
Jane,Donald,12.011036000000002,11.675424800000002,Jane,30
Donald,Jane,17.392738500000004,27.052700100000013,Donald,40
Jane,Donald,22.075092699999985,28.362889499999994,Jane,40
Donald,Jane,5.556355399999973,7.41203079999994,Jane,17
Jane,Donald,12.589909999999975,10.824167799999941,Jane,28
Donald,Jane,50.99395259999994,43.9163331,draw,59
Jane,Donald,5.346476800000005,10.995379999999898,Donald,23
Donald,Jane,4.659965599999907,5.891685500000051,Donald,16
Jane,Donald,15.420807600000103,11.291242999999895,Donald,31
Donald,Jane,36.26894569999979,26.676343199999906,draw,59
Jane,Donald,40.72214500000007,43.39998039999995,draw,59
Donald,Jane,4.9004311000000484,6.588588400000106,Jane,17
Jane,Donald,32.098716999999965,29.352106199999923,Donald,51
Donald,Jane,6.511891300000229,6.150023199999964,Donald,16
Jane,Donald,20.538952899999572,29.658903999999552,Donald,45
Donald,Jane,27.791846999999848,16.48595290000003,Jane,47
Jane,Donald,9.874047899999937,7.5859314000000495,Jane,20
Donald,Jane,6.7325732000002745,7.0955856000000495,Donald,16
Jane,Donald,32.57804689999966,22.482912800000122,Donald,51
Donald,Jane,14.335725099999877,12.732235600000195,Donald,34
Jane,Maisie,19.735570899999995,24.256335700000005,Jane,34
Maisie,Jane,10.404404800000002,5.282758400000006,Maisie,14
Jane,Maisie,22.20371759999994,100.31603180000008,Maisie,49
Maisie,Jane,42.86950390000001,4.9199548999999365,Maisie,24
Jane,Maisie,15.114991400000065,37.38370560000013,Jane,26
Maisie,Jane,36.32678759999993,11.532301899999993,Jane,27
Jane,Maisie,14.037105599999961,65.6924278999997,Maisie,39
Maisie,Jane,20.073423899999966,16.42240559999999,Maisie,28
Jane,Maisie,14.652169299999969,11.621516500000041,Jane,26
Maisie,Jane,39.059243200000424,17.841717499999902,Maisie,34
Jane,Maisie,7.908690400000069,41.21524509999972,Jane,30
Maisie,Jane,69.2197425999999,12.473077699999976,Maisie,34
Jane,Maisie,8.686765700000024,28.545630399999936,Maisie,25
Maisie,Jane,36.005030599999714,13.035762599999998,Maisie,24
Jane,Maisie,27.11952929999984,199.19790490000003,draw,59
Maisie,Jane,18.251003000000196,21.09196670000017,Jane,29
Jane,Maisie,13.244215999999824,83.61973070000067,Maisie,41
Maisie,Jane,30.52295230000027,7.837594299999637,Maisie,22
Jane,Maisie,37.75246580000021,66.62258539999925,Maisie,57
Maisie,Jane,37.316837599999644,6.655481000000236,Maisie,24
George,Donald,33.9913542,7.192036400000008,Donald,23
Donald,George,33.85224270000003,66.25090979999999,George,51
George,Donald,35.22402200000013,7.395299199999954,George,26
Donald,George,40.274078499999945,133.8656272,George,55
George,Donald,18.551006699999903,9.204485599999998,George,20
Donald,George,40.757218600000044,128.9138342,Donald,56
George,Donald,31.715851699999916,6.427101199999925,George,22
Donald,George,34.127084599999876,24.911059700000237,Donald,42
George,Donald,25.148955099999284,24.93474959999992,George,36
Donald,George,15.101617700000247,26.4408927999998,Donald,24
George,Donald,26.43642250000005,11.51095029999999,George,26
Donald,George,16.075394400000164,42.304912200000444,Donald,32
George,Donald,16.439617499999827,16.628571599999873,Donald,25
Donald,George,21.606838799999878,57.794698700000026,Donald,34
George,Donald,43.731501200000025,6.874353200000201,George,24
Donald,George,30.395405700000765,72.55564689999994,Donald,42
George,Donald,30.8741799000004,9.70633090000024,George,24
Donald,George,16.459025399999746,23.127919699999893,Donald,24
George,Donald,53.505255000000034,9.0432701000002,George,30
Donald,George,10.075082600000087,15.244770500000186,Donald,20
George,Maisie,46.127975899999974,42.0485778,George,28
Maisie,George,179.10239469999993,57.01474659999988,draw,59
George,Maisie,51.90979959999993,22.945572200000015,George,24
Maisie,George,179.52639289999996,137.9212918,draw,59
George,Maisie,52.34931879999999,55.721521499999994,Maisie,35
Maisie,George,64.9938768999998,27.01541580000014,Maisie,32
George,Maisie,80.98921749999965,172.03882679999913,draw,59
Maisie,George,65.52379299999984,40.42891000000009,Maisie,30
George,Maisie,122.16299870000034,84.93797520000021,draw,59
Maisie,George,32.651018799999974,17.850178400000004,Maisie,20
George,Maisie,52.069315899999765,18.456285600000456,George,30
Maisie,George,106.01633570000035,38.48525700000005,Maisie,42
George,Maisie,12.74158410000041,24.567375100000163,George,20
Maisie,George,48.42884630000049,33.62535469999966,Maisie,28
George,Maisie,164.21924729999955,97.89843229999997,draw,59
Maisie,George,41.50388180000073,26.404806799999733,Maisie,26
George,Maisie,46.80894470000021,21.723256099999617,George,28
Maisie,George,286.1158864000022,173.8708043000006,draw,59
George,Maisie,88.1265439000008,35.95653469999934,Maisie,41
Maisie,George,37.83989589999919,56.623773300000266,George,29
Donald,Maisie,24.027890900000045,81.4346953,Maisie,35
Maisie,Donald,228.72109020000005,56.34303550000001,draw,59
Donald,Maisie,22.90001069999994,26.373829600000022,Donald,24
Maisie,Donald,115.65971719999982,12.054346300000077,Maisie,36
Donald,Maisie,7.851463299999978,18.04438120000009,Donald,14
Maisie,Donald,67.70763089999991,11.665367500000002,Maisie,24
Donald,Maisie,20.754708600000185,47.518353899999966,Maisie,31
Maisie,Donald,46.091947000000005,11.2078123,Maisie,26
Donald,Maisie,54.60995569999966,171.46501070000022,Maisie,55
Maisie,Donald,32.339360099998885,13.512977100000398,Maisie,20
Donald,Maisie,27.281925399999864,34.85747730000048,Donald,32
Maisie,Donald,220.58877350000012,31.753863700000238,Maisie,46
Donald,Maisie,31.80048409999995,41.90699520000021,Donald,26
Maisie,Donald,117.2928018999994,41.915740499999856,Donald,41
Donald,Maisie,14.780719699999736,29.188564400000132,Donald,16
Maisie,Donald,207.99406549999958,1086.4791870000015,Donald,53
Donald,Maisie,9.969634499999756,53.052207300000646,Maisie,27
Maisie,Donald,63.55529160000151,26.71740329999966,Maisie,46
Donald,Maisie,28.275313300001017,172.5375983000008,draw,59
Maisie,Donald,40.480958799999826,26.972593700001198,Donald,35
