black,white,b_time,w_time,winner,rounds
Jane,Janelle,33.0060897,42.05092170000002,draw,59
Janelle,Jane,26.35511660000003,21.178875699999992,Jane,47
Jane,Janelle,12.700903000000011,6.292578599999942,Jane,28
Janelle,Jane,15.647331299999962,7.319349600000066,Janelle,28
Jane,Janelle,42.44140530000004,20.25824969999988,Janelle,51
Janelle,Jane,15.359368599999982,40.77308179999994,draw,59
Jane,Janelle,16.83510990000019,18.65491149999997,Jane,42
Janelle,Jane,8.272807000000057,5.348941400000058,Janelle,20
Jane,Janelle,3.2804151000000275,5.969790599999897,Janelle,19
Janelle,Jane,28.041892700000005,10.525810099999887,Janelle,40
Jane,Janelle,14.11337119999996,14.65550729999984,Jane,34
Janelle,Jane,3.097297699999956,5.5036175000000185,Janelle,16
Jane,Janelle,3.3418755000001283,6.009149000000036,Janelle,19
Janelle,Jane,56.328863700000056,45.321284200000036,draw,59
Jane,Janelle,22.014619100000118,9.882169399999952,Janelle,33
Janelle,Jane,17.68423349999989,20.97340459999998,Janelle,48
Jane,Janelle,7.832716699999651,7.400951299999974,Jane,24
Janelle,Jane,14.229037799999674,37.51300679999963,Jane,45
Jane,Janelle,16.596527799999762,7.694201699999894,Jane,30
Janelle,Jane,11.495554300000094,6.285800200000153,Janelle,22
