black,white,b_time,w_time,winner,rounds
Erica,Jane,10.296671300000002,5.549354400000005,Erica,26
Jane,Erica,17.229253999999987,6.274533999999996,Jane,32
Erica,Jane,7.173017699999981,14.547482599999995,Jane,33
Jane,Erica,35.15756989999998,18.249969600000007,draw,59
Erica,Jane,12.078280500000076,7.755308200000059,Erica,30
Jane,Erica,9.252073800000005,11.123269299999976,Jane,32
Erica,Jane,5.445255200000048,4.357906400000076,Jane,15
Jane,Erica,4.859935200000024,7.327575300000007,Jane,18
Erica,Jane,4.636191299999979,7.3257841999999584,Jane,17
Jane,Erica,3.5888074000000074,6.509128099999998,Jane,16
Erica,Jane,20.843442000000014,46.072982800000005,draw,59
Jane,Erica,5.2526816000000025,6.147772400000008,Jane,16
Erica,Jane,5.394786100000019,9.788080100000016,Jane,21
Jane,Erica,3.340969900000019,5.873056399999982,Jane,16
Erica,Jane,10.591093799999982,8.742289399999976,Erica,28
Jane,Erica,12.856096999999949,6.009472599999967,Jane,28
Erica,Jane,6.233565400000003,19.159670399999982,Erica,32
Jane,Erica,5.676343899999978,5.605719300000004,Jane,18
Erica,Jane,24.38754610000001,9.162715799999916,Jane,51
Jane,Erica,14.070427999999993,14.156165399999935,Jane,38
Erica,Jane,7.541445399999998,9.075414199999997,Jane,21
Jane,Erica,6.988326999999998,10.617800000000006,Erica,27
Erica,Jane,10.271822199999995,9.338062499999992,Erica,24
Jane,Erica,4.949856100000012,5.661171600000003,Jane,18
Erica,Jane,6.571309499999998,15.834847000000039,Erica,30
Jane,Erica,3.0931376000000057,5.484520399999994,Jane,14
Erica,Jane,6.788788200000013,5.810531400000002,Erica,18
Jane,Erica,3.502020200000004,6.887390299999993,Jane,16
Erica,Jane,6.8882788000000374,17.662075699999974,Erica,34
Jane,Erica,8.287993599999965,5.825594200000012,Jane,20
Erica,Jane,11.728545400000003,8.147734200000004,Jane,29
Jane,Erica,3.737551600000007,5.906641099999991,Jane,14
Erica,Jane,6.566389600000004,13.18831959999999,Erica,28
Jane,Erica,2.6838605999999956,7.820620300000002,Jane,20
Erica,Jane,14.801262099999981,7.300185600000027,Erica,36
Jane,Erica,3.4140285000000006,5.614126600000006,Jane,14
Erica,Jane,8.357274900000021,9.209844300000015,Jane,21
Jane,Erica,3.7352488999999736,5.206041600000006,Jane,14
Erica,Jane,9.365226499999977,8.545141700000002,Jane,25
Jane,Erica,4.853621299999986,6.201257999999996,Jane,18
Eric,Jane,12.7087834,17.3246876,Jane,47
Jane,Eric,9.213300800000003,10.644190199999983,Eric,35
Eric,Jane,5.939859799999972,8.790935900000008,Jane,21
Jane,Eric,16.446735800000013,7.508454299999968,Jane,30
Eric,Jane,10.848320199999975,12.525832399999999,Jane,41
Jane,Eric,10.384894899999992,4.312357900000023,Jane,22
Eric,Jane,9.428598299999962,5.038670199999984,Eric,30
Jane,Eric,10.557704200000046,4.08498560000001,Jane,22
Eric,Jane,15.23798000000005,30.348662699999977,draw,59
Jane,Eric,10.414020700000009,14.617483400000054,Jane,46
Eric,Jane,3.4933112,3.2292792,Jane,15
Jane,Eric,11.995807200000002,12.6754313,Eric,47
Eric,Jane,12.053818600000017,23.638174199999966,Jane,53
Jane,Eric,5.043637199999978,4.129659900000021,Jane,18
Eric,Jane,14.034931500000042,18.120048800000006,Jane,55
Jane,Eric,13.434416200000001,7.399338100000023,Jane,34
Eric,Jane,3.8994355999999186,17.252821399999988,Jane,27
Jane,Eric,25.454774500000042,15.922759299999939,draw,59
Eric,Jane,12.301177800000147,11.367317900000046,Jane,47
Jane,Eric,25.980458199999987,6.584555500000079,Eric,45
Eric,Jane,11.638375999999987,21.516647800000005,Eric,52
Jane,Eric,30.170101699999996,17.897909199999965,draw,59
Eric,Jane,4.764012599999987,15.076949000000056,Jane,23
Jane,Eric,4.9435486,4.008523900000014,Jane,18
Eric,Jane,4.093392599999987,11.795123200000006,Jane,23
Jane,Eric,3.576205200000018,6.884569400000046,Jane,20
Eric,Jane,16.117276500000003,12.450865399999913,Jane,53
Jane,Eric,29.302762599999966,15.389729999999986,draw,59
Eric,Jane,3.1597496999999635,10.175207300000011,Jane,21
Jane,Eric,4.46500469999998,3.6776253000000168,Jane,16
Eric,Jane,3.384049100000003,10.7106608,Jane,25
Jane,Eric,12.027222999999994,5.851670300000004,Jane,28
Eric,Jane,3.7448373999999873,8.301820500000005,Jane,19
Jane,Eric,32.06306080000002,10.567667099999994,Eric,59
Eric,Jane,3.3647751999999826,6.175810499999997,Jane,15
Jane,Eric,8.913456000000025,5.322588399999987,Jane,24
Eric,Jane,3.26080300000001,7.762664400000006,Jane,19
Jane,Eric,18.818522599999966,4.19667309999997,Jane,34
Eric,Jane,11.187934999999982,27.346635600000013,Jane,57
Jane,Eric,5.603526899999963,4.088211900000033,Eric,17
Eric,Erica,3.661468700000003,16.613818299999995,Eric,40
Erica,Eric,6.145258600000002,2.6173839999999977,Erica,16
Eric,Erica,15.865617600000004,24.476203400000013,draw,59
Erica,Eric,21.26273069999999,15.874247500000038,draw,59
Eric,Erica,14.192683500000015,8.872560099999987,Eric,38
Erica,Eric,20.204354199999955,9.088074599999857,Erica,48
Eric,Erica,5.666019299999988,5.01144339999999,Eric,20
Erica,Eric,20.99322069999991,15.360728799999947,draw,59
Eric,Erica,15.13480409999994,11.010210900000004,Eric,48
Erica,Eric,4.557861000000031,4.472930399999967,Eric,19
Eric,Erica,4.3429594999999965,11.816165800000002,Eric,32
Erica,Eric,4.5018086999999944,6.434787600000007,Eric,25
Eric,Erica,13.253034400000004,21.531333299999993,draw,59
Erica,Eric,10.743827400000043,6.77008559999998,Eric,31
Eric,Erica,8.950648099999967,10.959549799999962,Eric,34
Erica,Eric,6.526662899999991,14.699292900000003,Erica,48
Eric,Erica,4.147136499999974,6.318773499999949,Eric,22
Erica,Eric,11.537501899999938,11.923763899999898,Erica,50
Eric,Erica,2.287718699999999,6.328651899999983,Eric,18
Erica,Eric,12.253266999999937,6.036928400000022,Erica,30
Eric,Erica,6.000415900000003,5.755532800000004,Eric,24
Erica,Eric,24.17516950000001,11.948276100000005,Eric,57
Eric,Erica,11.834326900000015,10.557109299999965,Eric,36
Erica,Eric,14.053767800000031,5.498367199999976,Eric,39
Eric,Erica,9.240111000000027,5.809678099999985,Eric,32
Erica,Eric,9.336931499999992,5.610602400000005,Erica,32
Eric,Erica,4.115064700000005,8.408439599999951,Eric,26
Erica,Eric,12.48824870000007,9.76949110000001,Erica,44
Eric,Erica,19.490332900000084,12.42051520000004,draw,59
Erica,Eric,5.65537040000001,2.945383200000009,Erica,16
Eric,Erica,6.000415900000003,5.755532800000004,Eric,24
Erica,Eric,24.17516950000001,11.948276100000005,Eric,57
Eric,Erica,11.834326900000015,10.557109299999965,Eric,36
Erica,Eric,14.053767800000031,5.498367199999976,Eric,39
Eric,Erica,9.240111000000027,5.809678099999985,Eric,32
Erica,Eric,9.336931499999992,5.610602400000005,Erica,32
Eric,Erica,4.115064700000005,8.408439599999951,Eric,26
Erica,Eric,12.48824870000007,9.76949110000001,Erica,44
Eric,Erica,19.490332900000084,12.42051520000004,draw,59
Erica,Eric,5.65537040000001,2.945383200000009,Erica,16
Eric,Erica,3.8475105000000003,11.256790599999997,Erica,27
Erica,Eric,4.689326600000008,8.022163600000003,Eric,27
Eric,Erica,9.72640959999999,8.723155000000009,Erica,39
Erica,Eric,17.606678200000005,13.116523399999984,draw,59
Eric,Erica,2.0683211999999713,5.910446399999955,Eric,18
Erica,Eric,5.679571700000025,6.765392899999995,Erica,28
Eric,Erica,13.049035799999999,10.109538200000003,Erica,45
Erica,Eric,23.788840099999888,6.315609999999978,Erica,52
Eric,Erica,8.66146340000006,12.380255599999913,Eric,42
Erica,Eric,7.997107699999987,10.872681200000017,Erica,42
