black,white,b_time,w_time,winner,rounds
Jane,Janelle,24.447287100000022,55.45060899999999,draw,59
Janelle,Jane,6.733758499999979,4.084755499999986,Janelle,18
Jane,Janelle,46.7118334999999,38.50816230000001,draw,59
Janelle,Jane,15.090749299999999,10.85716149999999,Jane,33
Jane,Janelle,9.042856699999987,6.182259100000067,Jane,18
Janelle,Jane,20.183164199999908,5.312494100000009,Janelle,34
Jane,Janelle,39.02235250000018,18.986478900000208,Janelle,53
Janelle,Jane,24.872041699999954,12.07165079999993,Jane,49
Jane,Janelle,8.69722819999987,7.7637723999999935,Jane,20
Janelle,Jane,17.174134000000095,11.922654500000021,Jane,33
Jane,Janelle,10.661703899999907,12.504305100000067,Janelle,23
Janelle,Jane,21.392210699999964,8.506958899999859,Jane,39
Jane,Janelle,3.7743871000000127,6.555979500000092,Janelle,19
Janelle,Jane,5.472476599999993,6.644271599999911,Jane,19
Jane,Janelle,22.912888700000167,30.113310799999795,Janelle,47
Janelle,Jane,38.127324799999826,53.83679410000042,draw,59
Jane,Janelle,3.8014167000000043,6.9794593000000305,Janelle,19
Janelle,Jane,3.589797400000066,7.424970799999869,Janelle,18
Jane,Janelle,6.601279599999771,11.767418399999997,Janelle,21
Janelle,Jane,3.4438182999999754,7.085379600000238,Janelle,18
